replicate,compartment_nr,treatment,compartment,treatment_compartment,color,rootweight[mg],QD[nmol],QD[nmol/root]
1,1,control,established,control_established,1,69.955,3.08E-04,0.0215
2,5,control,established,control_established,1,46.383,1.34E-03,0.0621
3,9,control,established,control_established,1,54.1168,1.07E-03,0.0577
4,13,control,established,control_established,1,55.7401,1.27E-03,0.0708
5,29,control,established,control_established,1,72.3381,1.08E-03,0.0783
6,33,control,established,control_established,1,46.5829,1.26E-03,0.0586
7,37,control,established,control_established,1,55.4679,6.61E-04,0.0366
8,41,control,established,control_established,1,59.8552,1.32E-03,0.0788
9,45,control,established,control_established,1,69.899,1.63E-03,0.1137
10,49,control,established,control_established,1,47.9041,1.61E-03,0.077
11,53,control,established,control_established,1,64.7271,1.02E-03,0.0658
12,57,control,established,control_established,1,71.5419,1.20E-03,0.086
13,65,control,established,control_established,1,47.909,1.18E-03,0.0564
14,69,control,established,control_established,1,59.4031,1.21E-03,0.0719
15,73,control,established,control_established,1,84.3984,7.08E-04,0.0597
16,77,control,established,control_established,1,61.1112,1.26E-03,0.0773
17,93,control,established,control_established,1,71.3347,1.23E-03,0.0875
18,97,control,established,control_established,1,43.7572,8.29E-04,0.0363
19,101,control,established,control_established,1,41.9283,9.69E-04,0.0406
20,105,control,established,control_established,1,51.2592,8.24E-04,0.0422
21,109,control,established,control_established,1,86.8924,1.22E-03,0.106
22,117,control,established,control_established,1,57.3828,1.65E-03,0.0947
23,125,control,established,control_established,1,55.0224,4.39E-04,0.0241
24,129,control,established,control_established,1,55.5511,8.00E-04,0.0444
25,137,lowP,established,lowp_established,1,NA,3.13E-04,NA
26,141,lowP,established,lowp_established,1,57.7529,1.04E-03,0.0599
27,145,lowP,established,lowp_established,1,45.4238,1.43E-03,0.065
28,149,lowP,established,lowp_established,1,50.553,1.86E-03,0.0938
29,157,lowP,established,lowp_established,1,55.7624,1.49E-03,0.083
30,161,lowP,established,lowp_established,1,65.3541,1.33E-03,0.0866
31,165,lowP,established,lowp_established,1,76.6219,1.41E-03,0.108
32,169,lowP,established,lowp_established,1,56.3467,8.17E-04,0.0461
33,173,lowP,established,lowp_established,1,64.4779,1.70E-03,0.1094
34,177,lowP,established,lowp_established,1,58.5452,1.60E-03,0.0935
35,181,lowP,established,lowp_established,1,70.6871,9.13E-04,0.0645
36,185,lowP,established,lowp_established,1,63.5137,9.67E-04,0.0614
37,189,lowP,established,lowp_established,1,47.9444,7.08E-04,0.0339
38,193,lowP,established,lowp_established,1,49.9251,4.21E-04,0.021
39,197,lowP,established,lowp_established,1,62.4624,1.17E-03,0.073
40,201,lowP,established,lowp_established,1,45.1356,7.36E-04,0.0332
41,205,lowP,established,lowp_established,1,52.1812,1.66E-03,0.0867
42,209,lowP,established,lowp_established,1,40.2868,1.42E-03,0.0573
43,213,lowP,established,lowp_established,1,40.3182,1.29E-03,0.052
44,217,lowP,established,lowp_established,1,46.6116,1.44E-03,0.0673
45,221,lowP,established,lowp_established,1,32.538,1.03E-03,0.0335
46,225,lowP,established,lowp_established,1,61.1569,7.50E-04,0.0459
47,229,lowP,established,lowp_established,1,74.7712,4.04E-04,0.0302
48,233,lowP,established,lowp_established,1,47.2581,6.93E-04,0.0328
49,237,lowP,established,lowp_established,1,65.2193,9.35E-04,0.061
1,3,control,young,control_young,1,6.132,8.61E-04,0.0053
2,7,control,young,control_young,1,7.3937,5.22E-04,0.0039
3,11,control,young,control_young,1,10.4886,1.04E-03,0.0109
4,15,control,young,control_young,1,8.7672,1.53E-03,0.0134
5,31,control,young,control_young,1,12.1893,2.99E-04,0.0036
6,35,control,young,control_young,1,5.3827,7.36E-04,0.004
7,39,control,young,control_young,1,14.0527,1.96E-04,0.0028
8,43,control,young,control_young,1,6.1649,9.48E-04,0.0058
9,47,control,young,control_young,1,10.1908,1.25E-03,0.0127
10,51,control,young,control_young,1,7.0713,4.49E-04,0.0032
11,55,control,young,control_young,1,6.9226,1.17E-03,0.0081
12,59,control,young,control_young,1,5.0292,7.70E-04,0.0039
13,67,control,young,control_young,1,6.3324,4.11E-04,0.0026
14,71,control,young,control_young,1,7.6788,9.45E-04,0.0073
15,75,control,young,control_young,1,8.4136,6.33E-04,0.0053
16,79,control,young,control_young,1,9.3521,1.21E-03,0.0113
17,95,control,young,control_young,1,9.0996,1.11E-03,0.0101
18,99,control,young,control_young,1,17.0481,7.15E-04,0.0122
19,103,control,young,control_young,1,8.4696,9.15E-04,0.0078
20,107,control,young,control_young,1,9.2896,8.57E-04,0.008
21,111,control,young,control_young,1,6.0063,6.56E-04,0.0039
22,119,control,young,control_young,1,7.0871,1.15E-03,0.0082
23,127,control,young,control_young,1,6.6819,1.60E-04,0.0011
24,131,control,young,control_young,1,9.2815,1.51E-03,0.014
