replicate,compartment_nr,treatment,compartment,treatment_compartment,rootweight[mg],1st_injection_QD[nmol QD/ mg root],1st_injection_P_from_QD[nmol P/ mg root],2nd_injection_QD[nmol QD/ mg root],2nd_injection_P_from_QD[nmol P/ mg root],3rd_injection_QD[nmol QD/ mg root],3rd_injection_P_from_QD[nmol P/ mg root],sample_P,samples_in_pool,weight_sample_P[mg],Conc [nmol P/ml],WL880.0,/3,conc [nmol P/10ml],conc [nmol P/mg root],%Pfrom1st,%Pfrom2nd,%Pfrom3rd,%PfromQD
1,1,control,established,control_established,69.955,3.08E-04,2.18E-01,4.08E-04,2.89E-01,5.32E-05,3.77E-02,1,NA,31.9,327.760,0.087,109.253,1092.533,34.249,0.6368,0.8435,0.1100,1.5903
2,5,control,established,control_established,46.383,1.34E-03,9.49E-01,3.58E-04,2.53E-01,4.24E-05,3.00E-02,5,NA,12.2,222.045,0.059,74.015,740.150,60.668,1.5640,0.4178,0.0495,2.0313
3,9,control,established,control_established,54.1168,1.07E-03,7.58E-01,4.37E-04,3.09E-01,7.64E-05,5.41E-02,9,NA,18.4,421.011,0.112,140.337,1403.370,76.270,0.9934,0.4057,0.0709,1.4700
4,13,control,established,control_established,55.7401,1.27E-03,8.99E-01,5.52E-04,3.91E-01,5.43E-05,3.84E-02,13,NA,13.5,79.398,0.021,26.466,264.660,19.604,4.5872,1.9938,0.1961,6.7771
5,29,control,established,control_established,72.3381,1.08E-03,7.65E-01,4.36E-04,3.09E-01,3.51E-05,2.49E-02,29,NA,31.3,191.577,0.051,63.859,638.590,20.402,3.7484,1.5132,0.1218,5.3834
6,33,control,established,control_established,46.5829,1.26E-03,8.92E-01,5.43E-04,3.84E-01,2.81E-05,1.99E-02,33,NA,16.1,100.634,0.027,33.545,335.447,20.835,4.2822,1.8454,0.0955,6.2231
7,37,control,established,control_established,55.4679,6.61E-04,4.68E-01,3.19E-04,2.26E-01,2.72E-05,1.93E-02,37,NA,26.4,168.956,0.045,56.319,563.187,21.333,2.1941,1.0589,0.0903,3.3432
8,41,control,established,control_established,59.8552,1.32E-03,9.35E-01,6.73E-04,4.77E-01,1.23E-04,8.71E-02,41,NA,29.8,156.492,0.042,52.164,521.640,17.505,5.3397,2.7224,0.4976,8.5596
9,45,control,established,control_established,69.899,1.63E-03,1.15E+00,4.61E-04,3.26E-01,4.83E-05,3.42E-02,45,NA,39.6,286.213,0.076,95.404,954.043,24.092,4.7908,1.3549,0.1420,6.2877
10,49,control,established,control_established,47.9041,1.61E-03,1.14E+00,2.89E-04,2.05E-01,2.77E-05,1.96E-02,49,NA,21.3,122.331,0.033,40.777,407.770,19.144,5.9550,1.0689,0.1025,7.1264
11,53,control,established,control_established,64.7271,1.02E-03,7.22E-01,4.49E-04,3.18E-01,5.06E-05,3.58E-02,53,NA,36.2,248.820,0.066,82.940,829.400,22.912,3.1524,1.3877,0.1564,4.6964
12,57,control,established,control_established,71.5419,1.20E-03,8.50E-01,4.17E-04,2.95E-01,2.39E-05,1.69E-02,57,NA,40.7,281.596,0.075,93.865,938.653,23.063,3.6844,1.2803,0.0734,5.0381
13,65,control,established,control_established,47.909,1.18E-03,8.36E-01,3.65E-04,2.58E-01,4.12E-05,2.92E-02,65,NA,19.0,111.713,0.03,37.238,372.377,19.599,4.2633,1.3187,0.1489,5.7309
14,69,control,established,control_established,59.4031,1.21E-03,8.57E-01,5.98E-04,4.23E-01,6.29E-05,4.45E-02,69,NA,30.0,222.968,0.059,74.323,743.227,24.774,3.4584,1.7092,0.1798,5.3474
15,73,control,established,control_established,84.3984,7.08E-04,5.01E-01,4.95E-04,3.51E-01,5.30E-05,3.75E-02,73,NA,51.6,417.318,0.111,139.106,1391.060,26.959,1.8597,1.3002,0.1392,3.2990
16,77,control,established,control_established,61.1112,1.26E-03,8.92E-01,5.91E-04,4.18E-01,5.20E-05,3.68E-02,77,NA,32.5,213.274,0.057,71.091,710.913,21.874,4.0788,1.9131,0.1683,6.1603
17,93,control,established,control_established,71.3347,1.23E-03,8.71E-01,4.60E-04,3.26E-01,3.43E-05,2.43E-02,93,NA,41.2,319.912,0.085,106.637,1066.373,25.883,3.3650,1.2585,0.0938,4.7173
18,97,control,established,control_established,43.7572,8.29E-04,5.87E-01,3.33E-04,2.36E-01,2.70E-05,1.91E-02,97,NA,14.6,81.707,0.022,27.236,272.357,18.655,3.1468,1.2640,0.1025,4.5133
19,101,control,established,control_established,41.9283,9.69E-04,6.86E-01,3.91E-04,2.77E-01,4.47E-05,3.17E-02,101,NA,16.4,102.019,0.027,34.006,340.063,20.736,3.3090,1.3352,0.1526,4.7969
20,105,control,established,control_established,51.2592,8.24E-04,5.83E-01,4.12E-04,2.92E-01,2.90E-05,2.05E-02,105,NA,16.0,99.710,0.027,33.237,332.367,20.773,2.8088,1.4044,0.0989,4.3121
21,109,control,established,control_established,86.8924,1.22E-03,8.64E-01,2.19E-04,1.55E-01,3.96E-05,2.80E-02,109,NA,54.3,444.555,0.118,148.185,1481.850,27.290,3.1656,0.5682,0.1028,3.8366
22,117,control,established,control_established,57.3828,1.65E-03,1.17E+00,5.24E-04,3.71E-01,2.51E-05,1.78E-02,117,NA,28.9,177.727,0.047,59.242,592.423,20.499,5.6996,1.8101,0.0867,7.5964
23,125,control,established,control_established,55.0224,4.39E-04,3.11E-01,1.01E-04,7.15E-02,2.32E-05,1.64E-02,125,NA,27.1,156.954,0.042,52.318,523.180,19.306,1.6102,0.3705,0.0851,2.0657
24,129,control,established,control_established,55.5511,8.00E-04,5.66E-01,3.44E-04,2.44E-01,3.79E-05,2.68E-02,129,NA,24.7,172.649,0.046,57.550,575.497,23.299,2.4313,1.0455,0.1152,3.5919
25,137,lowP,established,lowp_established,NA,3.13E-04,2.22E-01,1.54E-04,1.09E-01,1.77E-05,1.25E-02,137,NA,24.8,158.800,0.042,52.933,529.333,21.344,1.0384,0.5109,0.0587,1.6080
26,141,lowP,established,lowp_established,57.7529,1.04E-03,7.36E-01,1.27E-04,8.99E-02,2.87E-05,2.03E-02,141,NA,20.4,96.017,0.026,32.006,320.057,15.689,4.6939,0.5732,0.1295,5.3966
27,145,lowP,established,lowp_established,45.4238,1.43E-03,1.01E+00,4.45E-04,3.15E-01,6.56E-05,4.65E-02,145,NA,12.7,53.085,0.014,17.695,176.950,13.933,7.2675,2.2616,0.3334,9.8624
28,149,lowP,established,lowp_established,50.553,1.86E-03,1.32E+00,3.24E-04,2.29E-01,2.86E-05,2.03E-02,149,NA,15.5,74.782,0.02,24.927,249.273,16.082,8.1896,1.4266,0.1259,9.7421
29,157,lowP,established,lowp_established,55.7624,1.49E-03,1.06E+00,2.15E-04,1.52E-01,2.66E-05,1.88E-02,157,NA,28.2,134.333,0.036,44.778,447.777,15.879,6.6446,0.9588,0.1186,7.7220
30,161,lowP,established,lowp_established,65.3541,1.33E-03,9.42E-01,5.25E-04,3.72E-01,4.70E-05,3.33E-02,161,NA,30.2,147.721,0.039,49.240,492.403,16.305,5.7761,2.2800,0.2041,8.2602
31,165,lowP,established,lowp_established,76.6219,1.41E-03,9.98E-01,3.78E-04,2.68E-01,1.45E-05,1.03E-02,165,NA,55.9,446.401,0.118,148.800,1488.003,26.619,3.7508,1.0055,0.0386,4.7949
32,169,lowP,established,lowp_established,56.3467,8.17E-04,5.79E-01,3.74E-04,2.65E-01,3.45E-05,2.44E-02,169,NA,22.1,96.941,0.026,32.314,323.137,14.622,3.9566,1.8112,0.1671,5.9349
33,173,lowP,established,lowp_established,64.4779,1.70E-03,1.20E+00,3.46E-04,2.45E-01,3.71E-05,2.63E-02,173,NA,34.7,148.644,0.04,49.548,495.480,14.279,8.4304,1.7158,0.1840,10.3302
34,177,lowP,established,lowp_established,58.5452,1.60E-03,1.13E+00,3.69E-04,2.61E-01,3.51E-05,2.49E-02,177,NA,27.6,287.597,0.076,95.866,958.657,34.734,3.2618,0.7523,0.0716,4.0856
35,181,lowP,established,lowp_established,70.6871,9.13E-04,6.46E-01,4.07E-04,2.88E-01,1.87E-05,1.32E-02,181,NA,34.3,277.903,0.074,92.634,926.343,27.007,2.3938,1.0671,0.0490,3.5099
36,185,lowP,established,lowp_established,63.5137,9.67E-04,6.85E-01,1.53E-04,1.08E-01,3.66E-05,2.59E-02,185,NA,30.0,120.484,0.032,40.161,401.613,13.387,5.1149,0.8093,0.1936,6.1177
37,189,lowP,established,lowp_established,47.9444,7.08E-04,5.01E-01,2.85E-04,2.02E-01,3.10E-05,2.20E-02,189,NA,12.4,52.623,0.014,17.541,175.410,14.146,3.5440,1.4266,0.1552,5.1258
38,193,lowP,established,lowp_established,49.9251,4.21E-04,2.98E-01,1.72E-04,1.22E-01,2.54E-05,1.80E-02,193,NA,20.4,74.320,0.02,24.773,247.733,12.144,2.4548,1.0029,0.1481,3.6059
39,197,lowP,established,lowp_established,62.4624,1.17E-03,8.28E-01,2.84E-04,2.01E-01,2.10E-05,1.49E-02,197,NA,29.6,265.439,0.07,88.480,884.797,29.892,2.7716,0.6728,0.0497,3.4941
40,201,lowP,established,lowp_established,45.1356,7.36E-04,5.21E-01,1.55E-04,1.10E-01,2.84E-05,2.01E-02,201,NA,13.9,52.162,0.014,17.387,173.873,12.509,4.1663,0.8774,0.1608,5.2045
41,205,lowP,established,lowp_established,52.1812,1.66E-03,1.18E+00,5.31E-04,3.76E-01,3.19E-05,2.26E-02,205,NA,16.9,68.319,0.018,22.773,227.730,13.475,8.7231,2.7903,0.1676,11.6810
42,209,lowP,established,lowp_established,40.2868,1.42E-03,1.01E+00,2.09E-04,1.48E-01,3.36E-05,2.38E-02,209,NA,10.1,36.928,0.01,12.309,123.093,12.187,8.2503,1.2143,0.1952,9.6598
43,213,lowP,established,lowp_established,40.3182,1.29E-03,9.13E-01,2.63E-04,1.86E-01,4.80E-05,3.40E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,217,lowP,established,lowp_established,46.6116,1.44E-03,1.02E+00,4.68E-04,3.31E-01,4.22E-05,2.99E-02,217,NA,12.7,48.007,0.013,16.002,160.023,12.600,8.0924,2.6300,0.2372,10.9596
45,221,lowP,established,lowp_established,32.538,1.03E-03,7.29E-01,3.07E-04,2.17E-01,1.62E-05,1.15E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,225,lowP,established,lowp_established,61.1569,7.50E-04,5.31E-01,1.83E-04,1.30E-01,4.86E-05,3.44E-02,225,NA,26.8,136.180,0.036,45.393,453.933,16.938,3.1354,0.7650,0.2032,4.1037
47,229,lowP,established,lowp_established,74.7712,4.04E-04,2.86E-01,1.11E-04,7.86E-02,2.41E-05,1.71E-02,229,NA,15.0,54.470,0.015,18.157,181.567,12.104,2.3634,0.6493,0.1410,3.1537
48,233,lowP,established,lowp_established,47.2581,6.93E-04,4.91E-01,1.23E-04,8.71E-02,2.84E-05,2.01E-02,233,NA,15.9,69.242,0.019,23.081,230.807,14.516,3.3805,0.6000,0.1385,4.1190
49,237,lowP,established,lowp_established,65.2193,9.35E-04,6.62E-01,3.73E-04,2.64E-01,4.61E-05,3.26E-02,237,NA,22.3,92.324,0.025,30.775,307.747,13.800,4.7975,1.9139,0.2365,6.9480
1,3,control,young,control_young,6.132,8.61E-04,6.10E-01,9.96E-05,7.05E-02,3.28E-05,2.32E-02,"pool1: 11, 15","11, 15, 19, 23, 27",9.6,66.011,0.018,22.004,220.037,22.920,3.9698,1.7069,0.1013,5.7781
2,7,control,young,control_young,7.3937,5.22E-04,3.70E-01,5.31E-04,3.76E-01,3.06E-05,2.17E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,11,control,young,control_young,10.4886,1.04E-03,7.36E-01,5.96E-04,4.22E-01,5.19E-05,3.68E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,15,control,young,control_young,8.7672,1.53E-03,1.08E+00,5.09E-04,3.60E-01,2.56E-05,1.81E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,31,control,young,control_young,12.1893,2.99E-04,2.12E-01,2.17E-04,1.54E-01,2.68E-05,1.90E-02,31,31,4.6,23.078,0.006,7.693,76.927,16.723,1.2660,0.9188,0.1135,2.2983
6,35,control,young,control_young,5.3827,7.36E-04,5.21E-01,2.79E-04,1.98E-01,3.76E-05,2.66E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,39,control,young,control_young,14.0527,1.96E-04,1.39E-01,1.64E-04,1.16E-01,2.22E-05,1.57E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,43,control,young,control_young,6.1649,9.48E-04,6.71E-01,2.74E-04,1.94E-01,3.40E-05,2.41E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,47,control,young,control_young,10.1908,1.25E-03,8.85E-01,2.10E-04,1.49E-01,2.23E-05,1.58E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,51,control,young,control_young,7.0713,4.49E-04,3.18E-01,2.39E-04,1.69E-01,3.21E-05,2.27E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,55,control,young,control_young,6.9226,1.17E-03,8.28E-01,3.12E-04,2.21E-01,9.85E-06,6.97E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,59,control,young,control_young,5.0292,7.70E-04,5.45E-01,2.43E-04,1.72E-01,4.27E-05,3.02E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
