replicate,compartment_nr,treatment,compartment,treatment_compartment,rootweight[mg],hyphae_weight[mg],log_copynr_extraradical_hyphae,log_copynr_intraradical_hyphae
1,1,control,established,control_established ,69.955,1.122,4.997665605,3.282669281
2,5,control,established,control_established ,46.383,1.1328,4.70578374,2.714694877
3,9,control,established,control_established ,54.1168,7.1029,6.341579387,3.470613774
4,13,control,established,control_established ,55.7401,13.2916,NA,3.038459233
5,17,control,established,control_established ,54.4937,8.4051,5.542261148,2.905489577
6,21,control,established,control_established ,54.5042,3.6521,5.015237363,NA
7,25,control,established,control_established ,38.5685,9.0961,NA,NA
8,29,control,established,control_established ,72.3381,4.451,5.291076247,2.257472052
9,33,control,established,control_established ,46.5829,7.7443,6.092998985,2.549661377
10,37,control,established,control_established ,55.4679,4.2479,6.198395018,2.16753327
11,41,control,established,control_established ,59.8552,6.8399,6.544649786,3.038974381
12,45,control,established,control_established ,69.899,0.4486,5.227118292,2.995986339
13,49,control,established,control_established ,47.9041,4.5414,6.158217899,2.385623637
14,53,control,established,control_established ,64.7271,4.5599,6.009823992,NA
15,57,control,established,control_established ,71.5419,5.9047,5.997789463,2.560005938
16,61,control,established,control_established ,52.0183,0.7618,5.101790802,2.536332154
17,65,control,established,control_established ,47.909,0.3994,5.808365071,2.633469405
18,69,control,established,control_established ,59.4031,2.6813,5.385929552,NA
19,73,control,established,control_established ,84.3984,5.549,5.841876734,NA
20,77,control,established,control_established ,61.1112,6.8004,5.162303551,2.524990609
21,89,control,established,control_established ,38.4649,NA,NA,3.75186478
22,93,control,established,control_established ,71.3347,9.8278,5.745714782,2.571747209
23,97,control,established,control_established ,43.7572,4.2465,5.949621964,4.294380154
24,101,control,established,control_established ,41.9283,5.085,5.885762488,4.810402771
25,105,control,established,control_established ,51.2592,2.7314,5.574595751,2.036035121
26,109,control,established,control_established ,86.8924,10.7832,5.833919964,3.222950632
27,113,control,established,control_established ,62.7442,5.8307,6.269771758,4.45414328
28,117,control,established,control_established ,57.3828,10.4879,6.166987687,5.493567032
29,121,control,established,control_established ,83.7132,7.959,6.368439927,3.695590034
30,125,control,established,control_established ,55.0224,4.7321,5.80244521,4.340039166
31,129,control,established,control_established ,55.5511,3.9091,5.623281887,4.576247294
32,133,control,established,control_established ,68.8101,2.8889,5.664193907,NA
1,3,control,young,control_young ,6.132,4.5048,6.584481615,3.001218844
2,7,control,young,control_young ,7.3937,0.9005,4.777259858,NA
3,11,control,young,control_young ,10.4886,1.0895,5.06417625,NA
4,15,control,young,control_young ,8.7672,3.5137,5.586167203,NA
5,19,control,young,control_young ,3.0807,10.2928,6.278483508,NA
6,23,control,young,control_young ,2.5489,8.3176,6.043285792,NA
7,27,control,young,control_young ,0.7689,14.7526,NA,NA
8,31,control,young,control_young ,12.1893,5.7311,6.381699524,NA
9,35,control,young,control_young ,5.3827,10.201,6.405393829,4.535289363
10,39,control,young,control_young ,14.0527,0.9949,5.362344528,4.57693931
11,43,control,young,control_young ,6.1649,5.0682,6.739361944,6.873539861
12,47,control,young,control_young ,10.1908,2.4587,NA,NA
13,51,control,young,control_young ,7.0713,7.0598,6.791946189,4.021873459
14,55,control,young,control_young ,6.9226,5.6852,6.52029682,3.236891044
15,59,control,young,control_young ,5.0292,4.6658,6.093545719,4.055089601
16,63,control,young,control_young ,1.8631,6.5528,5.460491309,4.093757843
17,67,control,young,control_young ,6.3324,3.5059,5.666185296,3.97683968
18,71,control,young,control_young ,7.6788,5.9015,6.015525493,2.858007451
19,75,control,young,control_young ,8.4136,1.9874,6.215300183,3.03971635
20,79,control,young,control_young ,9.3521,7.9664,6.44561155,3.200264997
21,91,control,young,control_young ,3.2068,6.2386,6.136611419,NA
22,95,control,young,control_young ,9.0996,2.2315,5.926097842,2.993396751
